#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1627120266 2 0.050389 1.770272 176.547668 1.036585 0.304878 -0.365854 -0.000977 0.000488 1.029785 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627122266 2000 0.050146 1.770967 176.546936 0.731707 0.000000 -0.121951 0.003418 0.007812 1.022949 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627124266 2000 0.049837 1.772163 176.546570 1.036585 0.000000 0.060976 0.003906 0.006836 1.021973 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627126266 2000 0.050182 1.772667 176.545227 1.097561 0.121951 -0.426829 0.000488 -0.000488 1.021484 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627128266 2000 0.051111 1.772427 176.544266 0.914634 0.365854 -0.243902 -0.000488 -0.003906 1.029297 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627130266 2000 0.051022 1.772393 176.543427 1.097561 0.182927 -0.182927 0.005371 -0.005371 1.028809 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627132266 2000 0.050096 1.772477 176.542938 0.914634 0.304878 0.000000 0.015137 -0.000977 1.032227 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627134266 2000 0.049612 1.772144 176.541855 0.975610 0.060976 -0.304878 0.006836 -0.005859 1.028809 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627136266 2000 0.049520 1.771429 176.541016 0.731707 0.426829 -0.182927 0.009766 -0.004883 1.019531 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627138266 2000 0.049992 1.771515 176.540421 0.914634 0.304878 -0.060976 0.002441 -0.000977 1.020020 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627140266 2000 0.049590 1.771434 176.540054 0.670732 -0.182927 0.060976 0.001465 0.001953 1.031738 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627142266 2000 0.049373 1.771683 176.538940 0.914634 0.060976 -0.304878 0.004395 0.000488 1.020996 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627144266 2000 0.049489 1.771499 176.537964 0.914634 -0.121951 -0.243902 -0.001953 -0.003418 1.029785 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627146266 2000 0.049558 1.771556 176.537354 0.792683 0.182927 -0.060976 0.003906 0.000977 1.030273 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627148266 2000 0.049924 1.770736 176.536270 0.975610 0.243902 -0.304878 0.002441 -0.010254 1.023926 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627150266 2000 0.049786 1.770134 176.535645 0.731707 0.000000 -0.060976 0.002441 -0.003906 1.022949 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627152266 2000 0.050587 1.769400 176.534439 0.853659 0.243902 -0.365854 -0.001465 -0.007324 1.028320 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627154266 2000 0.051270 1.769328 176.533463 0.914634 0.243902 -0.243902 -0.000488 -0.002441 1.030762 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627156266 2000 0.051918 1.768797 176.531891 0.792683 0.243902 -0.548781 0.000000 -0.004395 1.028320 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627158266 2000 0.052431 1.768874 176.530685 0.853659 0.182927 -0.365854 0.000000 0.000000 1.018555 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627160266 2000 0.051950 1.768802 176.530075 0.914634 0.182927 -0.060976 0.008789 -0.002441 1.022461 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627162266 2000 0.051130 1.769240 176.528854 0.792683 0.000000 -0.365854 0.008789 0.004395 1.029297 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627164266 2000 0.052164 1.769561 176.528366 0.975610 0.182927 0.000000 -0.004883 0.000000 1.020508 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627166266 2000 0.051659 1.769743 176.527878 0.853659 0.060976 0.000000 0.006836 0.000977 1.032227 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627168266 2000 0.052642 1.770867 176.526657 1.158537 0.060976 -0.365854 -0.006348 0.003906 1.007812 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627170266 2000 0.052623 1.771101 176.525558 0.853659 0.000000 -0.304878 0.001465 0.001465 1.024414 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1627172266 2000 0.052059 1.771080 176.524704 0.914634 0.243902 -0.182927 0.010742 -0.001953 1.026367 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
