# 1:now_time 2:interval 3:roll 4:pitch 5:yaw 6:rroll 7:rpitch 8:ryaw 9:gx 10:gy 11:gz 12:ax 13:ay 14:az 15:mx 16:my 17:mz 18:R 19:L 20:F 21:B 22:stickRx 23:stickRy 24:stickLx 25:stickLy
1616043031 3 0.826941 1.695962 64.061600 0.000000 0.000000 0.000000 0.914634 0.182927 0.243902 -0.016602 0.005859 1.019531 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616045031 2000 0.826424 1.695407 64.062256 0.000000 0.000000 0.000000 0.548781 0.060976 0.243902 -0.006836 0.001953 1.035156 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616047032 2001 0.826540 1.695281 64.062302 0.000000 0.000000 0.000000 0.792683 0.121951 -0.060976 -0.011230 0.001465 1.025391 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616049032 2000 0.827194 1.695054 64.062973 0.000000 0.000000 0.000000 0.792683 0.243902 0.243902 -0.014160 0.000488 1.033203 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616051032 2000 0.827320 1.695445 64.063881 0.000000 0.000000 0.000000 0.853659 0.000000 0.365854 -0.013672 0.004883 1.018066 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616053032 2000 0.827637 1.696205 64.064186 0.000000 0.000000 0.000000 0.853659 0.060976 0.060976 -0.014160 0.008301 1.020020 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616055032 2000 0.827671 1.696155 64.064850 0.000000 0.000000 0.000000 0.853659 0.304878 0.243902 -0.007324 0.000977 1.019043 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616057032 2000 0.828241 1.695253 64.065643 0.000000 0.000000 0.000000 0.426829 0.304878 0.304878 -0.012207 0.000977 1.022461 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616059032 2000 0.828289 1.695848 64.065819 0.000000 0.000000 0.000000 0.853659 -0.182927 0.000000 -0.016113 0.006836 1.020508 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616061032 2000 0.828375 1.696430 64.065758 0.000000 0.000000 0.000000 0.792683 0.182927 -0.121951 -0.009766 0.007812 1.015625 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616063032 2000 0.828485 1.695649 64.065681 0.000000 0.000000 0.000000 0.548781 0.121951 -0.121951 -0.011230 0.000000 1.029785 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616065032 2000 0.828561 1.694777 64.065956 0.000000 0.000000 0.000000 0.792683 0.060976 0.060976 -0.012207 -0.005371 1.037109 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616067032 2000 0.828313 1.695299 64.066521 0.000000 0.000000 0.000000 0.731707 0.243902 0.182927 -0.005859 0.008301 1.019043 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616069032 2000 0.828247 1.694208 64.067154 0.000000 0.000000 0.000000 0.792683 0.121951 0.243902 -0.009766 -0.007324 1.023438 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616071032 2000 0.828834 1.694368 64.067223 0.000000 0.000000 0.000000 0.853659 0.304878 -0.060976 -0.012207 0.002930 1.024902 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616073032 2000 0.828952 1.695040 64.068268 0.000000 0.000000 0.000000 0.914634 0.060976 0.426829 -0.012695 0.006348 1.028320 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616075032 2000 0.829018 1.695272 64.068947 0.000000 0.000000 0.000000 0.670732 0.243902 0.243902 -0.008789 0.006836 1.025879 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616077032 2000 0.828327 1.696760 64.069267 0.000000 0.000000 0.000000 0.731707 0.182927 0.060976 -0.002930 0.017090 1.022461 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616079032 2000 0.828917 1.696063 64.069305 0.000000 0.000000 0.000000 0.670732 0.304878 -0.060976 -0.012207 -0.001465 1.021973 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616081032 2000 0.829731 1.695570 64.069267 0.000000 0.000000 0.000000 0.609756 0.304878 -0.121951 -0.014160 0.001465 1.019043 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616083032 2000 0.830047 1.695993 64.069809 0.000000 0.000000 0.000000 0.792683 0.121951 0.182927 -0.013184 0.006348 1.021973 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616085032 2000 0.830447 1.695897 64.070107 0.000000 0.000000 0.000000 0.914634 0.243902 0.060976 -0.011719 -0.000488 1.024902 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616087032 2000 0.830615 1.696466 64.070526 0.000000 0.000000 0.000000 0.975610 0.182927 0.121951 -0.010742 0.004395 1.022461 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616089032 2000 0.830580 1.696450 64.071190 0.000000 0.000000 0.000000 0.548781 0.060976 0.243902 -0.011230 0.006836 1.027832 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616091032 2000 0.830771 1.697186 64.071259 0.000000 0.000000 0.000000 0.792683 0.243902 -0.060976 -0.009766 0.009277 1.023926 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616093032 2000 0.830113 1.697476 64.071564 0.000000 0.000000 0.000000 0.731707 0.121951 0.060976 -0.004395 0.006348 1.027832 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616095032 2000 0.829723 1.697594 64.071999 0.000000 0.000000 0.000000 0.914634 0.121951 0.121951 -0.006836 0.001465 1.029785 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616097032 2000 0.829897 1.697735 64.071938 0.000000 0.000000 0.000000 0.792683 0.365854 -0.121951 -0.007324 0.003906 1.018555 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616099032 2000 0.830150 1.697802 64.072586 0.000000 0.000000 0.000000 0.914634 0.121951 0.243902 -0.012695 0.000977 1.025391 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616101032 2000 0.830013 1.697344 64.073357 0.000000 0.000000 0.000000 0.975610 0.060976 0.304878 -0.010254 -0.004883 1.020508 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616103032 2000 0.830228 1.698542 64.073303 0.000000 0.000000 0.000000 0.914634 0.060976 -0.121951 -0.013184 0.011230 1.019531 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616105033 2001 0.830502 1.698214 64.073837 0.000000 0.000000 0.000000 0.853659 0.182927 0.182927 -0.011719 -0.001465 1.021973 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616107033 2000 0.829281 1.697882 64.074120 0.000000 0.000000 0.000000 0.609756 0.000000 0.060976 -0.001465 0.002930 1.023926 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616109033 2000 0.828794 1.697281 64.074181 0.000000 0.000000 0.000000 0.853659 0.121951 -0.060976 -0.005859 -0.003906 1.031250 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616111033 2000 0.828178 1.697336 64.074730 0.000000 0.000000 0.000000 0.609756 0.060976 0.182927 -0.005859 0.006348 1.020996 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616113033 2000 0.828852 1.697112 64.075508 0.000000 0.000000 0.000000 0.548781 0.000000 0.304878 -0.018555 0.004883 1.016602 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616115033 2000 0.828545 1.697550 64.075798 0.000000 0.000000 0.000000 0.914634 0.000000 0.060976 -0.009766 0.004395 1.030762 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616117033 2000 0.827956 1.697368 64.075966 0.000000 0.000000 0.000000 0.792683 0.121951 0.000000 -0.004883 0.000977 1.018555 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616119033 2000 0.828096 1.698280 64.076408 0.000000 0.000000 0.000000 0.853659 0.304878 0.121951 -0.008301 0.009766 1.028320 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616121033 2000 0.827865 1.698483 64.076698 0.000000 0.000000 0.000000 0.792683 0.000000 0.060976 -0.010254 0.004395 1.012207 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616123033 2000 0.827787 1.699763 64.076988 0.000000 0.000000 0.000000 1.036585 0.000000 0.060976 -0.011719 0.009766 1.020996 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616125033 2000 0.827590 1.699801 64.077660 0.000000 0.000000 0.000000 0.792683 0.000000 0.243902 -0.010742 0.002930 1.020996 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616127033 2000 0.827618 1.699421 64.077576 0.000000 0.000000 0.000000 0.670732 -0.060976 -0.121951 -0.013672 0.001465 1.020996 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616129033 2000 0.827017 1.699563 64.078117 0.000000 0.000000 0.000000 0.548781 0.121951 0.182927 -0.004883 0.008301 1.023438 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616131033 2000 0.827095 1.699443 64.078163 0.000000 0.000000 0.000000 0.853659 0.182927 -0.060976 -0.009766 0.000488 1.021973 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616133033 2000 0.827237 1.699039 64.078468 0.000000 0.000000 0.000000 0.548781 0.060976 0.060976 -0.012695 0.003418 1.029785 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616135036 2003 0.827854 1.698938 64.078896 0.000000 0.000000 0.000000 0.914634 0.304878 0.121951 -0.012695 -0.000488 1.036621 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616137036 2000 0.826916 1.698891 64.079292 0.000000 0.000000 0.000000 0.914634 -0.182927 0.121951 -0.007324 0.000000 1.024414 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616139036 2000 0.827705 1.699171 64.079720 0.000000 0.000000 0.000000 0.914634 0.243902 0.121951 -0.015137 0.002930 1.020020 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616141036 2000 0.826823 1.698832 64.080269 0.000000 0.000000 0.000000 0.548781 0.060976 0.182927 -0.003418 0.003906 1.014648 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616143036 2000 0.827106 1.697996 64.081276 0.000000 0.000000 0.000000 0.731707 0.243902 0.426829 -0.010742 -0.003906 1.019531 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616145036 2000 0.827420 1.698787 64.081848 0.000000 0.000000 0.000000 0.792683 0.121951 0.182927 -0.013184 0.009766 1.026855 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616147039 2003 0.827472 1.698181 64.081779 0.000000 0.000000 0.000000 0.609756 0.243902 -0.121951 -0.008301 0.000488 1.009766 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616149039 2000 0.827952 1.698343 64.082077 0.000000 0.000000 0.000000 0.853659 0.243902 0.060976 -0.012207 0.002930 1.009277 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616151039 2000 0.828082 1.699654 64.082619 0.000000 0.000000 0.000000 0.914634 0.000000 0.182927 -0.013672 0.012207 1.021484 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616153039 2000 0.827201 1.698394 64.082512 0.000000 0.000000 0.000000 0.609756 -0.243902 -0.121951 -0.008789 -0.005371 1.022461 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616155039 2000 0.826739 1.697972 64.083046 0.000000 0.000000 0.000000 0.670732 0.000000 0.182927 -0.008301 0.000977 1.019043 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616157039 2000 0.827072 1.697033 64.083580 0.000000 0.000000 0.000000 0.792683 0.121951 0.182927 -0.013184 -0.005859 1.014648 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616159039 2000 0.827504 1.696377 64.083641 0.000000 0.000000 0.000000 0.609756 0.304878 -0.060976 -0.010742 0.000000 1.020020 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616161039 2000 0.826532 1.696374 64.083946 0.000000 0.000000 0.000000 0.609756 0.121951 0.060976 -0.001465 0.005859 1.022949 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616163039 2000 0.825938 1.696592 64.084129 0.000000 0.000000 0.000000 0.853659 0.060976 0.000000 -0.005859 0.003418 1.010742 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616165039 2000 0.826164 1.697506 64.084923 0.000000 0.000000 0.000000 1.036585 0.182927 0.304878 -0.011230 0.006348 1.018555 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616167040 2001 0.827578 1.698123 64.084984 0.000000 0.000000 0.000000 0.975610 0.304878 -0.060976 -0.019531 0.004883 1.018066 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616169040 2000 0.827340 1.698015 64.085396 0.000000 0.000000 0.000000 0.609756 0.000000 0.121951 -0.010254 0.004883 1.016113 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616171040 2000 0.826512 1.698456 64.085823 0.000000 0.000000 0.000000 0.914634 0.060976 0.121951 -0.003906 0.004395 1.024902 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616173040 2000 0.826881 1.698890 64.086372 0.000000 0.000000 0.000000 0.853659 0.304878 0.182927 -0.010254 0.005371 1.016602 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616175040 2000 0.827066 1.698137 64.086548 0.000000 0.000000 0.000000 0.670732 0.182927 0.000000 -0.010742 -0.001953 1.020996 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616177040 2000 0.828192 1.698790 64.086487 0.000000 0.000000 0.000000 0.731707 0.121951 -0.121951 -0.020508 0.009766 1.033203 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616179040 2000 0.827716 1.699164 64.086906 0.000000 0.000000 0.000000 0.853659 0.182927 0.121951 -0.004883 0.004883 1.021973 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616181040 2000 0.827881 1.699324 64.087334 0.000000 0.000000 0.000000 0.609756 0.121951 0.121951 -0.011719 0.007324 1.018555 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616183040 2000 0.828694 1.700152 64.088249 0.000000 0.000000 0.000000 0.914634 0.182927 0.365854 -0.016602 0.007812 1.020020 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616185040 2000 0.829486 1.699903 64.088676 0.000000 0.000000 0.000000 0.731707 0.243902 0.121951 -0.015137 0.001465 1.015625 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616187040 2000 0.829199 1.699386 64.089447 0.000000 0.000000 0.000000 0.731707 -0.182927 0.304878 -0.013184 -0.000977 1.012695 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616189040 2000 0.828960 1.700232 64.089981 0.000000 0.000000 0.000000 0.792683 0.060976 0.182927 -0.009277 0.010254 1.022949 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616191040 2000 0.828774 1.701161 64.090302 0.000000 0.000000 0.000000 0.914634 0.000000 0.060976 -0.010742 0.008789 1.018066 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616193040 2000 0.828637 1.700755 64.090355 0.000000 0.000000 0.000000 0.548781 0.182927 -0.060976 -0.007812 0.003418 1.017090 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616195040 2000 0.827890 1.700381 64.090782 0.000000 0.000000 0.000000 0.670732 0.182927 0.121951 -0.002441 0.001465 1.018555 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616197040 2000 0.827498 1.699905 64.091431 0.000000 0.000000 0.000000 0.914634 0.121951 0.243902 -0.006836 -0.003906 1.027832 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616199040 2000 0.827176 1.699805 64.091606 0.000000 0.000000 0.000000 0.670732 0.060976 0.000000 -0.008301 0.003906 1.011230 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616201040 2000 0.827276 1.699917 64.092278 0.000000 0.000000 0.000000 0.609756 0.060976 0.243902 -0.012207 0.006836 1.012207 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616203040 2000 0.827096 1.699918 64.092339 0.000000 0.000000 0.000000 0.670732 0.243902 -0.060976 -0.006348 0.004883 1.021973 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616205040 2000 0.826927 1.700313 64.092278 0.000000 0.000000 0.000000 0.975610 0.243902 -0.121951 -0.006348 0.002930 1.014160 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616207040 2000 0.828376 1.701100 64.092834 0.000000 0.000000 0.000000 0.975610 0.487805 0.182927 -0.016602 0.006348 1.011719 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616209040 2000 0.828229 1.701069 64.093613 0.000000 0.000000 0.000000 0.731707 0.000000 0.304878 -0.011230 0.003418 1.020508 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616211040 2000 0.828855 1.701151 64.093666 0.000000 0.000000 0.000000 0.792683 0.182927 -0.060976 -0.014648 0.003418 1.016113 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616213040 2000 0.828765 1.701699 64.093735 0.000000 0.000000 0.000000 0.914634 0.121951 -0.060976 -0.009277 0.005371 1.011719 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616215040 2000 0.829334 1.702142 64.094048 0.000000 0.000000 0.000000 0.670732 0.182927 0.060976 -0.014160 0.008789 1.012695 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616217040 2000 0.828520 1.701700 64.094452 0.000000 0.000000 0.000000 0.609756 0.121951 0.121951 -0.002930 0.001953 1.012207 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616219041 2001 0.828939 1.702712 64.094398 0.000000 0.000000 0.000000 0.853659 0.243902 -0.121951 -0.011719 0.010742 1.020996 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616221041 2000 0.828347 1.701917 64.095070 0.000000 0.000000 0.000000 0.487805 -0.060976 0.243902 -0.008301 0.000977 1.020508 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616223041 2000 0.828023 1.702809 64.095009 0.000000 0.000000 0.000000 0.792683 0.060976 -0.121951 -0.008301 0.010742 1.018555 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616225041 2000 0.827445 1.702620 64.095306 0.000000 0.000000 0.000000 0.792683 0.182927 0.060976 -0.003906 0.000977 1.016113 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616227041 2000 0.827804 1.702695 64.095856 0.000000 0.000000 0.000000 0.731707 0.243902 0.182927 -0.011230 0.004395 1.013184 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1616229041 2000 0.827854 1.702516 64.095901 0.000000 0.000000 0.000000 0.853659 0.243902 -0.060976 -0.008301 0.000000 1.007324 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
