# 1:now_time 2:interval 3:gx 4:gy 5:gz 6:motor_number 7:output
350777775 1 0.731707 0.060976 0.000000 0 1.000000
350778718 943 0.548781 0.304878 0.121951 0 1.000094
350779454 736 0.548781 0.426829 0.182927 0 1.000168
350780355 901 0.670732 0.304878 0.060976 0 1.000258
350781077 722 0.914634 0.121951 0.060976 0 1.000330
350781907 830 0.914634 0.121951 0.121951 0 1.000413
350782732 825 0.914634 0.121951 0.121951 0 1.000496
350783565 833 1.097561 0.182927 0.060976 0 1.000579
350784399 834 1.036585 0.121951 -0.182927 0 1.000662
350785224 825 0.914634 0.060976 -0.121951 0 1.000745
350786056 832 0.914634 -0.060976 0.121951 0 1.000828
350786882 826 0.914634 -0.121951 0.121951 0 1.000911
350787713 831 0.914634 -0.121951 0.060976 0 1.000994
350788554 841 0.670732 0.060976 0.000000 0 1.001078
350789378 824 0.548781 0.060976 0.060976 0 1.001160
350790207 829 0.609756 0.182927 0.182927 0 1.001243
350791036 829 0.853659 0.365854 0.121951 0 1.001326
350791869 833 1.036585 0.304878 -0.182927 0 1.001410
350792701 832 0.853659 0.121951 -0.182927 0 1.001493
350793529 828 0.670732 0.121951 -0.121951 0 1.001575
350794362 833 0.792683 0.304878 -0.121951 0 1.001659
350795192 830 0.853659 0.243902 -0.121951 0 1.001742
350796021 829 0.853659 0.121951 -0.182927 0 1.001825
350796851 830 0.853659 0.121951 -0.182927 0 1.001908
350797681 830 0.731707 0.487805 0.000000 0 1.001991
350798520 839 0.670732 0.426829 0.000000 0 1.002075
350799346 826 0.731707 0.365854 -0.243902 0 1.002157
350800175 829 0.792683 0.304878 -0.121951 0 1.002240
350801003 828 0.792683 0.182927 -0.121951 0 1.002323
350801835 832 1.036585 0.182927 0.060976 0 1.002406
350802665 830 1.158537 0.243902 0.182927 0 1.002489
350803495 830 1.036585 0.182927 0.000000 0 1.002572
350804330 835 0.853659 0.121951 -0.121951 0 1.002656
350805158 828 0.853659 0.060976 0.000000 0 1.002738
350805989 831 0.853659 0.000000 0.000000 0 1.002821
350806819 830 0.792683 0.121951 -0.060976 0 1.002905
350807650 831 0.731707 0.243902 -0.121951 0 1.002988
350808515 865 0.975610 0.243902 -0.121951 0 1.003074
350809312 797 1.097561 0.243902 -0.121951 0 1.003154
350810142 830 0.853659 0.182927 0.000000 0 1.003237
350810968 826 0.792683 0.304878 0.000000 0 1.003319
350811798 830 0.670732 0.426829 0.121951 0 1.003402
350812630 832 0.609756 0.243902 -0.121951 0 1.003486
350813462 832 0.731707 0.304878 -0.304878 0 1.003569
350814291 829 0.853659 0.304878 -0.182927 0 1.003652
350815121 830 0.975610 0.060976 -0.121951 0 1.003735
350815956 835 1.036585 -0.060976 -0.060976 0 1.003818
350816785 829 0.853659 0.121951 0.182927 0 1.003901
350817616 831 0.670732 0.304878 0.304878 0 1.003984
350818458 842 0.548781 0.243902 0.060976 0 1.004068
350819278 820 0.609756 0.365854 0.121951 0 1.004150
350820110 832 0.914634 0.304878 -0.060976 0 1.004234
350820935 825 0.792683 0.060976 -0.060976 0 1.004316
350821767 832 0.914634 0.121951 0.000000 0 1.004399
350822596 829 0.914634 0.243902 0.243902 0 1.004482
350823427 831 0.914634 0.182927 0.243902 0 1.004565
350824259 832 0.731707 0.121951 0.060976 0 1.004648
350825092 833 0.731707 0.243902 -0.060976 0 1.004732
350825919 827 0.792683 0.243902 -0.121951 0 1.004815
350826749 830 0.792683 0.060976 -0.060976 0 1.004897
350827584 835 0.914634 0.060976 0.060976 0 1.004981
350828552 968 0.914634 0.121951 0.548781 0 1.005078
350829271 719 0.975610 0.182927 0.304878 0 1.005150
350830100 829 0.914634 0.182927 -0.121951 0 1.005233
350830931 831 0.914634 0.304878 -0.182927 0 1.005316
350831759 828 0.914634 0.182927 -0.060976 0 1.005399
350832591 832 0.853659 0.182927 0.121951 0 1.005482
350833425 834 0.792683 0.182927 0.121951 0 1.005565
350834253 828 0.792683 0.243902 0.060976 0 1.005648
350835083 830 0.731707 0.182927 0.000000 0 1.005731
350835916 833 0.609756 0.060976 -0.121951 0 1.005814
350836747 831 0.609756 0.060976 0.000000 0 1.005897
350837577 830 0.792683 0.182927 0.000000 0 1.005980
