#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz
3490640215 2 0.263071 1.523156 174.018997 0.792683 0.121951 -0.243902 -0.005859 -0.003906 1.028809 0.000000 0.000000 0.000000
3490642215 2000 0.263196 1.523522 174.018387 0.975610 0.000000 -0.121951 -0.004883 -0.001953 1.029297 0.000000 0.000000 0.000000
3490644215 2000 0.263940 1.523781 174.017914 0.975610 0.121951 -0.060976 -0.008301 -0.002930 1.025879 0.000000 0.000000 0.000000
3490646215 2000 0.263083 1.524345 174.016678 0.914634 -0.121951 -0.426829 0.001953 0.000977 1.024902 0.000000 0.000000 0.000000
3490648215 2000 0.263898 1.525099 174.015961 1.036585 0.182927 -0.182927 -0.007812 0.000488 1.030273 0.000000 0.000000 0.000000
3490650215 2000 0.263545 1.525067 174.015091 0.670732 0.000000 -0.243902 -0.000488 0.000000 1.018066 0.000000 0.000000 0.000000
3490652215 2000 0.263106 1.524714 174.014481 0.670732 0.121951 -0.121951 0.002441 -0.002930 1.031738 0.000000 0.000000 0.000000
3490654215 2000 0.263058 1.524806 174.013870 0.731707 -0.060976 -0.121951 -0.004395 0.000000 1.023926 0.000000 0.000000 0.000000
3490656215 2000 0.262476 1.525018 174.013000 0.792683 -0.060976 -0.243902 0.000488 0.000000 1.018066 0.000000 0.000000 0.000000
3490658215 2000 0.261668 1.525148 174.012024 0.670732 -0.121951 -0.304878 0.001465 0.001465 1.024902 0.000000 0.000000 0.000000
3490660215 2000 0.262208 1.525264 174.010788 1.097561 0.060976 -0.426829 -0.007324 -0.006348 1.022461 0.000000 0.000000 0.000000
3490662215 2000 0.262378 1.525815 174.010193 1.097561 0.182927 -0.121951 -0.001953 -0.002441 1.027832 0.000000 0.000000 0.000000
3490664215 2000 0.261405 1.525406 174.009827 0.670732 -0.060976 0.000000 0.003906 -0.003418 1.021973 0.000000 0.000000 0.000000
3490666215 2000 0.261388 1.525596 174.009689 1.158537 0.121951 0.121951 -0.001465 -0.006836 1.024902 0.000000 0.000000 0.000000
3490668215 2000 0.262011 1.525731 174.009094 0.426829 0.243902 -0.121951 -0.004883 0.005859 1.014648 0.000000 0.000000 0.000000
3490670215 2000 0.261393 1.526536 174.008392 1.036585 0.243902 -0.182927 0.006348 0.000977 1.030762 0.000000 0.000000 0.000000
3490672215 2000 0.261771 1.525852 174.007401 0.426829 0.121951 -0.304878 -0.004883 -0.001465 1.036133 0.000000 0.000000 0.000000
3490674215 2000 0.261512 1.526726 174.006042 1.341463 -0.365854 -0.487805 -0.007812 -0.003906 1.026367 0.000000 0.000000 0.000000
3490676215 2000 0.262058 1.525216 174.005081 0.121951 0.365854 -0.304878 -0.001953 -0.003418 1.028809 0.000000 0.000000 0.000000
3490678215 2000 0.261499 1.527012 174.004456 1.585366 -0.182927 -0.121951 -0.001953 0.000000 1.023438 0.000000 0.000000 0.000000
3490680215 2000 0.261324 1.525126 174.003952 -0.121951 -0.121951 -0.060976 -0.004395 -0.002441 1.034180 0.000000 0.000000 0.000000
3490682215 2000 0.261580 1.526625 174.003098 1.463415 0.060976 -0.243902 -0.004883 -0.000488 1.029785 0.000000 0.000000 0.000000
3490684215 2000 0.261214 1.526716 174.001999 0.548781 0.121951 -0.365854 0.001953 0.003418 1.039551 0.000000 0.000000 0.000000
3490686215 2000 0.260756 1.526086 174.001160 0.182927 0.243902 -0.243902 0.004883 0.003418 1.019531 0.000000 0.000000 0.000000
3490688215 2000 0.260763 1.528301 174.000671 1.768293 -0.060976 -0.060976 -0.004883 0.000488 1.024414 0.000000 0.000000 0.000000
3490690215 2000 0.261069 1.527707 173.999695 0.365854 0.243902 -0.304878 -0.001953 0.000488 1.020020 0.000000 0.000000 0.000000
3490692215 2000 0.261512 1.528162 173.998978 1.158537 0.182927 -0.182927 -0.004395 -0.004395 1.031250 0.000000 0.000000 0.000000
3490694215 2000 0.260746 1.528966 173.997971 1.280488 -0.182927 -0.304878 0.000000 -0.003418 1.032715 0.000000 0.000000 0.000000
3490696215 2000 0.260989 1.528434 173.996887 0.914634 0.182927 -0.365854 -0.002441 -0.008789 1.015625 0.000000 0.000000 0.000000
3490698215 2000 0.260527 1.528750 173.996262 1.036585 0.000000 -0.121951 0.000488 -0.003418 1.026367 0.000000 0.000000 0.000000
3490700215 2000 0.260793 1.528079 173.995895 0.487805 -0.060976 0.000000 -0.007324 -0.002441 1.034668 0.000000 0.000000 0.000000
3490702215 2000 0.260601 1.530164 173.995560 1.463415 0.487805 0.000000 0.006836 0.004883 1.030273 0.000000 0.000000 0.000000
3490704225 2010 0.259895 1.528938 173.994812 0.243902 -0.121951 -0.182927 0.000488 -0.002930 1.021484 0.000000 0.000000 0.000000
3490706225 2000 0.260187 1.529928 173.993698 1.158537 -0.121951 -0.365854 -0.008301 0.000488 1.013184 0.000000 0.000000 0.000000
3490708225 2000 0.261479 1.529013 173.993240 0.609756 0.609756 -0.060976 -0.004395 -0.006836 1.028320 0.000000 0.000000 0.000000
3490710225 2000 0.261028 1.530192 173.992233 1.280488 -0.487805 -0.304878 -0.008301 0.000000 1.018555 0.000000 0.000000 0.000000
3490712225 2000 0.261427 1.529207 173.991501 -0.182927 -0.060976 -0.182927 -0.008301 0.006836 1.015625 0.000000 0.000000 0.000000
3490714225 2000 0.261401 1.530857 173.990753 1.463415 -0.182927 -0.182927 -0.006836 0.000977 1.039062 0.000000 0.000000 0.000000
3490716225 2000 0.262182 1.529165 173.990021 0.060976 0.243902 -0.182927 -0.006348 -0.003906 1.028809 0.000000 0.000000 0.000000
3490718225 2000 0.262443 1.531154 173.989059 1.524390 0.060976 -0.304878 -0.004883 0.002930 1.024414 0.000000 0.000000 0.000000
3490720225 2000 0.263267 1.530095 173.988464 0.243902 0.426829 -0.121951 -0.003418 -0.001465 1.011230 0.000000 0.000000 0.000000
3490722225 2000 0.263253 1.529853 173.987000 0.975610 0.000000 -0.548781 -0.003418 -0.007324 1.029785 0.000000 0.000000 0.000000
3490724225 2000 0.263713 1.530948 173.986511 1.158537 0.304878 -0.060976 -0.002441 0.001465 1.034668 0.000000 0.000000 0.000000
3490726225 2000 0.262792 1.532665 173.986130 1.280488 -0.304878 0.000000 -0.000977 0.004883 1.023926 0.000000 0.000000 0.000000
3490728225 2000 0.262691 1.532244 173.985748 0.670732 -0.243902 0.000000 -0.007324 -0.003418 1.030273 0.000000 0.000000 0.000000
3490730225 2000 0.261874 1.533471 173.985138 1.280488 -0.121951 -0.121951 0.001465 0.000488 1.024414 0.000000 0.000000 0.000000
3490732225 2000 0.262828 1.531944 173.984406 0.548781 0.304878 -0.182927 -0.006836 -0.011230 1.030762 0.000000 0.000000 0.000000
3490734225 2000 0.262804 1.530663 173.983795 0.426829 0.060976 -0.121951 -0.002441 -0.006836 1.035645 0.000000 0.000000 0.000000
3490736225 2000 0.264149 1.532166 173.982834 1.829268 0.487805 -0.304878 -0.006836 -0.006836 1.003418 0.000000 0.000000 0.000000
3490738225 2000 0.264620 1.532473 173.981522 0.548781 0.487805 -0.487805 0.000977 0.005371 1.017090 0.000000 0.000000 0.000000
3490740225 2000 0.264434 1.532508 173.980515 0.792683 -0.426829 -0.304878 -0.009766 -0.001465 1.031738 0.000000 0.000000 0.000000
3490742225 2000 0.264987 1.533384 173.979294 1.402439 -0.060976 -0.426829 -0.009766 -0.004883 1.030762 0.000000 0.000000 0.000000
3490744225 2000 0.265490 1.531728 173.978653 0.487805 -0.243902 -0.121951 -0.012695 -0.011230 1.022949 0.000000 0.000000 0.000000
3490746225 2000 0.266209 1.532007 173.978073 0.670732 0.487805 -0.121951 -0.001465 0.002930 1.025879 0.000000 0.000000 0.000000
3490748225 2000 0.266846 1.530980 173.977356 0.609756 0.365854 -0.182927 -0.002930 -0.007812 1.029785 0.000000 0.000000 0.000000
3490750225 2000 0.266862 1.532072 173.976135 1.158537 0.182927 -0.426829 -0.000488 0.001465 1.020020 0.000000 0.000000 0.000000
3490752225 2000 0.268315 1.531038 173.975403 0.365854 0.365854 -0.182927 -0.010254 -0.003418 1.020508 0.000000 0.000000 0.000000
3490754225 2000 0.266502 1.532119 173.974289 1.341463 -0.487805 -0.365854 0.003906 -0.001953 1.034668 0.000000 0.000000 0.000000
3490756225 2000 0.266585 1.531289 173.973923 0.304878 0.121951 0.000000 -0.002441 -0.000488 1.041504 0.000000 0.000000 0.000000
3490758225 2000 0.267100 1.530673 173.973190 0.304878 -0.121951 -0.182927 -0.010742 0.001465 1.036621 0.000000 0.000000 0.000000
3490760225 2000 0.268791 1.531684 173.972717 1.036585 0.548781 -0.060976 -0.009277 0.002930 1.031738 0.000000 0.000000 0.000000
3490762225 2000 0.269026 1.530555 173.972260 0.426829 0.548781 -0.060976 0.003906 -0.005371 1.017578 0.000000 0.000000 0.000000
3490764225 2000 0.269009 1.531056 173.971512 1.158537 -0.121951 -0.182927 -0.005859 -0.003906 1.024902 0.000000 0.000000 0.000000
3490766225 2000 0.268342 1.531153 173.971161 0.548781 0.182927 0.000000 0.005371 0.003418 1.013672 0.000000 0.000000 0.000000
