#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1275106466 2 0.482575 1.688100 -175.152664 0.853659 0.060976 -0.487805 -0.003418 0.003418 1.035156 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275108466 2000 0.483806 1.687536 -175.154251 0.975610 0.060976 -0.548781 -0.018066 -0.008789 1.025879 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275110466 2000 0.484306 1.686490 -175.155319 0.731707 0.243902 -0.304878 -0.008301 -0.008789 1.025391 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275112466 2000 0.483805 1.687287 -175.156281 0.975610 0.121951 -0.243902 -0.001465 0.003418 1.015137 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275114466 2000 0.483979 1.686808 -175.157242 0.853659 0.000000 -0.243902 -0.009766 -0.005859 1.023438 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275116466 2000 0.483715 1.686560 -175.158203 0.670732 -0.060976 -0.243902 -0.006836 -0.000488 1.011719 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275118466 2000 0.483251 1.686137 -175.159042 0.609756 0.060976 -0.182927 -0.002930 -0.000977 1.020508 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275120466 2000 0.482869 1.686067 -175.159775 0.731707 -0.243902 -0.121951 -0.009277 0.000000 1.032227 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275122466 2000 0.482596 1.687167 -175.161087 0.914634 0.121951 -0.426829 -0.003418 0.007324 1.023926 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275124466 2000 0.483543 1.687096 -175.161819 0.731707 -0.060976 -0.121951 -0.018066 0.000000 1.033203 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275126466 2000 0.484404 1.686231 -175.163376 0.609756 0.304878 -0.548781 -0.010254 -0.004883 1.019043 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275128466 2000 0.484510 1.686031 -175.163696 0.609756 0.243902 0.060976 -0.004883 0.000977 1.013672 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275130466 2000 0.484202 1.686163 -175.164688 0.914634 -0.243902 -0.243902 -0.009766 -0.001465 1.016602 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275132466 2000 0.484878 1.686687 -175.165741 0.548781 0.121951 -0.304878 -0.012207 0.008789 1.034180 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275134466 2000 0.484673 1.686830 -175.166687 0.975610 0.243902 -0.243902 -0.001953 -0.002441 1.017578 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275136466 2000 0.485251 1.686768 -175.168015 0.792683 0.121951 -0.426829 -0.011230 -0.000977 1.032715 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275138466 2000 0.485315 1.687374 -175.168610 0.853659 -0.182927 -0.060976 -0.012207 0.003906 1.024414 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275140466 2000 0.484826 1.687248 -175.169098 0.975610 0.000000 0.000000 -0.003906 -0.004883 1.014648 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275142466 2000 0.484719 1.687555 -175.169800 0.975610 0.243902 -0.121951 -0.002930 -0.000977 1.027344 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275144466 2000 0.485820 1.687508 -175.170990 0.853659 0.121951 -0.365854 -0.016113 -0.001953 1.038086 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275146466 2000 0.487502 1.687611 -175.171707 0.792683 0.121951 -0.121951 -0.021484 0.000488 1.033203 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275148466 2000 0.487593 1.687646 -175.172302 0.731707 0.000000 -0.060976 -0.009277 0.000977 1.033691 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275150466 2000 0.487695 1.686885 -175.172913 0.792683 0.000000 -0.060976 -0.009277 -0.007324 1.022949 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275152466 2000 0.487710 1.685850 -175.173599 0.548781 0.304878 -0.121951 -0.002930 -0.005371 1.012695 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
1275154466 2000 0.487233 1.685506 -175.174698 0.731707 0.000000 -0.304878 -0.003906 -0.002441 1.018066 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
