#time h roll pitch yaw R L F B
2145779259 2 -0.039614 1.655777 -179.444504 1.000000 1.000000 1.000000 1.000000
2145781259 2000 -0.038862 1.657460 -179.445663 1.000000 1.000000 1.000000 1.000000
2145783259 2000 -0.039093 1.656565 -179.445633 1.000000 1.000000 1.000000 1.000000
2145785259 2000 -0.038593 1.655893 -179.446213 1.000000 1.000000 1.000000 1.000000
2145787259 2000 -0.038670 1.653717 -179.446411 1.000000 1.000000 1.000000 1.000000
2145789259 2000 -0.038904 1.653364 -179.446976 1.000000 1.000000 1.000000 1.000000
2145791259 2000 -0.038368 1.655803 -179.447174 1.000000 1.000000 1.000000 1.000000
2145793259 2000 -0.039287 1.657163 -179.448105 1.000000 1.000000 1.000000 1.000000
2145795259 2000 -0.039809 1.656174 -179.448334 1.000000 1.000000 1.000000 1.000000
2145797259 2000 -0.040720 1.655784 -179.449036 1.000000 1.000000 1.000000 1.000000
2145799259 2000 -0.040589 1.654084 -179.449478 1.000000 1.000000 1.000000 1.000000
2145801259 2000 -0.040447 1.653777 -179.450409 1.000000 1.000000 1.000000 1.000000
2145803259 2000 -0.040282 1.655506 -179.451324 1.000000 1.000000 1.000000 1.000000
2145805259 2000 -0.040598 1.657273 -179.452148 1.000000 1.000000 1.000000 1.000000
2145807259 2000 -0.041404 1.656382 -179.452835 1.000000 1.000000 1.000000 1.000000
2145809259 2000 -0.041699 1.653122 -179.453644 1.000000 1.000000 1.000000 1.000000
2145811259 2000 -0.042025 1.651114 -179.454330 1.000000 1.000000 1.000000 1.000000
2145813259 2000 -0.042553 1.649681 -179.454895 1.000000 1.000000 1.000000 1.000000
2145815259 2000 -0.043590 1.650578 -179.455795 1.000000 1.000000 1.000000 1.000000
2145817259 2000 -0.042374 1.652897 -179.457230 1.000000 1.000000 1.000000 1.000000
2145819259 2000 -0.042600 1.652586 -179.457565 1.000000 1.000000 1.000000 1.000000
2145821259 2000 -0.042546 1.651908 -179.458374 1.000000 1.000000 1.000000 1.000000
2145823259 2000 -0.042623 1.648895 -179.459061 1.000000 1.000000 1.000000 1.000000
2145825259 2000 -0.041272 1.646058 -179.459732 1.000000 1.000000 1.000000 1.000000
2145827259 2000 -0.040407 1.647192 -179.461411 1.000000 1.000000 1.000000 1.000000
2145829259 2000 -0.039940 1.649665 -179.462952 1.000000 1.000000 1.000000 1.000000
2145831259 2000 -0.039958 1.650131 -179.463760 1.000000 1.000000 1.000000 1.000000
2145833259 2000 -0.038832 1.648344 -179.464340 1.000000 1.000000 1.000000 1.000000
2145835259 2000 -0.038423 1.647106 -179.465027 1.000000 1.000000 1.000000 1.000000
2145837259 2000 -0.038539 1.645677 -179.465958 1.000000 1.000000 1.000000 1.000000
2145839259 2000 -0.037925 1.646217 -179.466629 1.000000 1.000000 1.000000 1.000000
2145841259 2000 -0.038150 1.648218 -179.467438 1.000000 1.000000 1.000000 1.000000
2145843259 2000 -0.037978 1.650223 -179.467758 1.000000 1.000000 1.000000 1.000000
2145845259 2000 -0.038031 1.650614 -179.467850 1.000000 1.000000 1.000000 1.000000
2145847259 2000 -0.038144 1.648638 -179.468170 1.000000 1.000000 1.000000 1.000000
2145849259 2000 -0.037598 1.648381 -179.468719 1.000000 1.000000 1.000000 1.000000
2145851259 2000 -0.037860 1.648806 -179.469650 1.000000 1.000000 1.000000 1.000000
2145853259 2000 -0.037451 1.650946 -179.470215 1.000000 1.000000 1.000000 1.000000
2145855259 2000 -0.036264 1.652233 -179.471130 1.000000 1.000000 1.000000 1.000000
2145857259 2000 -0.036498 1.652772 -179.472076 1.000000 1.000000 1.000000 1.000000
2145859259 2000 -0.036731 1.651338 -179.472534 1.000000 1.000000 1.000000 1.000000
2145861259 2000 -0.035497 1.651027 -179.473679 1.000000 1.000000 1.000000 1.000000
2145863259 2000 -0.035796 1.652590 -179.474609 1.000000 1.000000 1.000000 1.000000
2145865259 2000 -0.035947 1.654792 -179.475693 1.000000 1.000000 1.000000 1.000000
2145867259 2000 -0.035628 1.655218 -179.476135 1.000000 1.000000 1.000000 1.000000
2145869259 2000 -0.035527 1.654233 -179.476089 1.000000 1.000000 1.000000 1.000000
2145871259 2000 -0.036349 1.653440 -179.476929 1.000000 1.000000 1.000000 1.000000
2145873259 2000 -0.036080 1.652647 -179.477478 1.000000 1.000000 1.000000 1.000000
2145875259 2000 -0.036291 1.653486 -179.478180 1.000000 1.000000 1.000000 1.000000
2145877259 2000 -0.036000 1.653274 -179.479111 1.000000 1.000000 1.000000 1.000000
2145879259 2000 -0.035624 1.655771 -179.479660 1.000000 1.000000 1.000000 1.000000
2145881259 2000 -0.036982 1.654598 -179.480240 1.000000 1.000000 1.000000 1.000000
2145883259 2000 -0.038440 1.654076 -179.480972 1.000000 1.000000 1.000000 1.000000
2145885259 2000 -0.038679 1.652124 -179.481888 1.000000 1.000000 1.000000 1.000000
2145887259 2000 -0.038710 1.651501 -179.482941 1.000000 1.000000 1.000000 1.000000
2145889259 2000 -0.038095 1.653826 -179.483627 1.000000 1.000000 1.000000 1.000000
2145891259 2000 -0.037936 1.655324 -179.484955 1.000000 1.000000 1.000000 1.000000
2145893259 2000 -0.038472 1.656843 -179.486008 1.000000 1.000000 1.000000 1.000000
2145895259 2000 -0.038323 1.655726 -179.486954 1.000000 1.000000 1.000000 1.000000
2145897259 2000 -0.038194 1.654482 -179.487625 1.000000 1.000000 1.000000 1.000000
2145899259 2000 -0.038869 1.653102 -179.488083 1.000000 1.000000 1.000000 1.000000
2145901259 2000 -0.039094 1.654776 -179.488647 1.000000 1.000000 1.000000 1.000000
2145903259 2000 -0.038297 1.655466 -179.489334 1.000000 1.000000 1.000000 1.000000
2145905259 2000 -0.039546 1.656281 -179.490417 1.000000 1.000000 1.000000 1.000000
2145907259 2000 -0.039307 1.656135 -179.491104 1.000000 1.000000 1.000000 1.000000
2145909259 2000 -0.039821 1.655554 -179.491440 1.000000 1.000000 1.000000 1.000000
2145911259 2000 -0.040483 1.654229 -179.491653 1.000000 1.000000 1.000000 1.000000
2145913259 2000 -0.040724 1.653405 -179.491974 1.000000 1.000000 1.000000 1.000000
2145915259 2000 -0.040856 1.651559 -179.492905 1.000000 1.000000 1.000000 1.000000
2145917259 2000 -0.040376 1.654045 -179.493820 1.000000 1.000000 1.000000 1.000000
2145919259 2000 -0.041383 1.655039 -179.495010 1.000000 1.000000 1.000000 1.000000
2145921259 2000 -0.042378 1.653948 -179.495468 1.000000 1.000000 1.000000 1.000000
2145923259 2000 -0.042698 1.652723 -179.496048 1.000000 1.000000 1.000000 1.000000
2145925259 2000 -0.042556 1.650905 -179.495972 1.000000 1.000000 1.000000 1.000000
2145927259 2000 -0.042132 1.650823 -179.496170 1.000000 1.000000 1.000000 1.000000
2145929259 2000 -0.042469 1.651066 -179.497467 1.000000 1.000000 1.000000 1.000000
2145931259 2000 -0.043101 1.653809 -179.498169 1.000000 1.000000 1.000000 1.000000
2145933259 2000 -0.042495 1.654994 -179.499222 1.000000 1.000000 1.000000 1.000000
2145935259 2000 -0.042807 1.654918 -179.499817 1.000000 1.000000 1.000000 1.000000
2145937259 2000 -0.042380 1.655398 -179.500244 1.000000 1.000000 1.000000 1.000000
2145939259 2000 -0.042165 1.654806 -179.500549 1.000000 1.000000 1.000000 1.000000
2145941259 2000 -0.042335 1.655014 -179.501007 1.000000 1.000000 1.000000 1.000000
2145943259 2000 -0.042885 1.655196 -179.501572 1.000000 1.000000 1.000000 1.000000
2145945259 2000 -0.042559 1.655671 -179.501770 1.000000 1.000000 1.000000 1.000000
2145947259 2000 -0.043465 1.655850 -179.501846 1.000000 1.000000 1.000000 1.000000
