#time h roll pitch yaw rroll rpitch ryaw gx gy gz ax ay az mx my mz R L F B 
4117805453 4 -1.039813 1.433599 -159.944839 0.000000 0.000000 0.000000 0.548781 0.121951 -0.060976 0.025391 -0.010742 1.027832 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117807453 2000 -1.039415 1.433673 -159.945511 0.000000 0.000000 0.000000 0.792683 0.182927 -0.365854 0.020996 -0.000977 1.025879 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117809453 2000 -1.039359 1.434622 -159.945221 0.000000 0.000000 0.000000 0.914634 0.243902 0.121951 0.024902 0.004883 1.022949 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117811453 2000 -1.039529 1.434620 -159.944809 0.000000 0.000000 0.000000 0.792683 -0.060976 0.182927 0.021484 -0.001465 1.026367 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117813453 2000 -1.040465 1.434582 -159.944366 0.000000 0.000000 0.000000 0.853659 0.182927 0.182927 0.033203 -0.002930 1.038086 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117815453 2000 -1.040733 1.434668 -159.944458 0.000000 0.000000 0.000000 0.670732 0.121951 -0.060976 0.025879 0.001465 1.028809 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117817453 2000 -1.041417 1.434941 -159.944275 0.000000 0.000000 0.000000 0.792683 0.060976 0.060976 0.028320 0.000977 1.022461 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117819453 2000 -1.041540 1.434033 -159.943726 0.000000 0.000000 0.000000 0.609756 0.121951 0.243902 0.024414 -0.006348 1.028320 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117821453 2000 -1.042372 1.434381 -159.944305 0.000000 0.000000 0.000000 0.609756 -0.121951 -0.304878 0.026855 0.004883 1.034668 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117823453 2000 -1.042830 1.433546 -159.943512 0.000000 0.000000 0.000000 0.487805 0.182927 0.365854 0.028320 -0.003418 1.020508 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117825453 2000 -1.042050 1.433117 -159.943329 0.000000 0.000000 0.000000 0.548781 0.243902 0.060976 0.018555 -0.000977 1.028809 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117827453 2000 -1.041645 1.432516 -159.943283 0.000000 0.000000 0.000000 0.487805 0.000000 0.000000 0.017578 -0.001465 1.030762 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117829453 2000 -1.041729 1.431575 -159.943329 0.000000 0.000000 0.000000 0.609756 0.121951 -0.060976 0.024414 -0.006836 1.037109 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117831453 2000 -1.041421 1.431572 -159.943298 0.000000 0.000000 0.000000 0.731707 0.121951 0.000000 0.020508 -0.000488 1.022461 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117833465 2012 -1.040963 1.432340 -159.943253 0.000000 0.000000 0.000000 0.792683 0.000000 0.000000 0.017090 0.005371 1.029297 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117835465 2000 -1.040905 1.433223 -159.943436 0.000000 0.000000 0.000000 0.853659 0.243902 -0.121951 0.025391 0.005371 1.038086 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117837465 2000 -1.041016 1.433441 -159.943161 0.000000 0.000000 0.000000 0.792683 0.121951 0.121951 0.024414 0.000488 1.030762 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117839465 2000 -1.042111 1.434291 -159.943481 0.000000 0.000000 0.000000 0.914634 0.000000 -0.182927 0.031250 0.003906 1.029297 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117841465 2000 -1.042332 1.433987 -159.943558 0.000000 0.000000 0.000000 0.609756 -0.060976 -0.060976 0.021973 -0.000977 1.020020 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117843465 2000 -1.042327 1.434151 -159.943390 0.000000 0.000000 0.000000 0.548781 0.182927 0.060976 0.024414 0.004395 1.026367 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117845465 2000 -1.042191 1.434314 -159.943100 0.000000 0.000000 0.000000 0.792683 -0.121951 0.121951 0.017578 0.000000 1.020020 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117847465 2000 -1.042262 1.434585 -159.943192 0.000000 0.000000 0.000000 0.548781 0.000000 -0.060976 0.021973 0.005371 1.031738 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117849465 2000 -1.042225 1.434244 -159.943375 0.000000 0.000000 0.000000 0.670732 0.243902 -0.121951 0.025391 -0.002441 1.029785 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117851465 2000 -1.042120 1.434198 -159.943314 0.000000 0.000000 0.000000 0.792683 0.182927 0.000000 0.023926 -0.001953 1.042969 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117853465 2000 -1.041496 1.434009 -159.943161 0.000000 0.000000 0.000000 0.426829 0.060976 0.060976 0.016602 0.003418 1.026367 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117855465 2000 -1.041256 1.434313 -159.943954 0.000000 0.000000 0.000000 0.609756 0.182927 -0.426829 0.022461 0.004395 1.024902 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117857465 2000 -1.040967 1.434365 -159.943542 0.000000 0.000000 0.000000 0.792683 0.304878 0.182927 0.023926 -0.000977 1.023926 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117859465 2000 -1.041893 1.434516 -159.943359 0.000000 0.000000 0.000000 0.731707 0.060976 0.060976 0.030762 0.000977 1.031250 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117861465 2000 -1.041958 1.434303 -159.943939 0.000000 0.000000 0.000000 0.731707 0.000000 -0.304878 0.021973 -0.002441 1.029785 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117863465 2000 -1.042066 1.434089 -159.943756 0.000000 0.000000 0.000000 0.792683 0.000000 0.060976 0.021973 -0.003418 1.019531 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117865465 2000 -1.042539 1.433749 -159.944077 0.000000 0.000000 0.000000 0.670732 -0.060976 -0.182927 0.024414 -0.002441 1.024902 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117867465 2000 -1.042819 1.432695 -159.943634 0.000000 0.000000 0.000000 0.670732 -0.060976 0.182927 0.022461 -0.008789 1.023438 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117869465 2000 -1.043605 1.432223 -159.943222 0.000000 0.000000 0.000000 0.609756 0.060976 0.182927 0.029297 -0.002441 1.025391 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117871465 2000 -1.043635 1.431894 -159.943161 0.000000 0.000000 0.000000 0.731707 0.304878 0.000000 0.026855 -0.003418 1.020996 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117873465 2000 -1.044077 1.431124 -159.943314 0.000000 0.000000 0.000000 0.914634 0.121951 -0.121951 0.027344 -0.010742 1.021484 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117875465 2000 -1.043536 1.430431 -159.943130 0.000000 0.000000 0.000000 0.792683 0.182927 0.060976 0.019531 -0.007812 1.023438 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117877465 2000 -1.043123 1.430207 -159.943451 0.000000 0.000000 0.000000 0.670732 -0.060976 -0.182927 0.016602 -0.001465 1.036621 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117879465 2000 -1.044435 1.430649 -159.943771 0.000000 0.000000 0.000000 0.731707 0.121951 -0.182927 0.035156 0.003418 1.020020 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
4117881465 2000 -1.044764 1.430920 -159.942993 0.000000 0.000000 0.000000 0.792683 0.121951 0.365854 0.025879 0.000977 1.011719 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
